                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.93379,                0.66584,                 1.2499,                 1.0091,                0.74963,                 1.2749,                0.90112,                0.80589,                0.89604,                0.61123,                 1.1434,                0.62638,                 1.4804,                 1.1897,                0.65861,                 1.4922,               0.001684,               0.001684,               0.001684
                     87,                0.91953,                0.65866,                 1.2359,                0.99262,                0.74569,                 1.2588,                0.90038,                0.80434,                0.89531,                0.61239,                 1.1352,                0.62692,                 1.4739,                 1.1796,                0.66882,                 1.4901,               0.001585,               0.001585,               0.001585
                     88,                  0.919,                0.65858,                 1.2423,                0.99354,                0.74508,                 1.2654,                0.90556,                0.81305,                0.89625,                0.61413,                 1.1346,                0.62869,                 1.4768,                 1.1751,                0.66773,                 1.4915,               0.001486,               0.001486,               0.001486
                     89,                0.92129,                0.64576,                 1.2352,                0.99192,                0.72783,                 1.2556,                0.90161,                 0.8185,                0.89753,                0.61537,                  1.137,                 0.6224,                 1.4783,                 1.1789,                0.66013,                 1.4908,               0.001387,               0.001387,               0.001387
                     90,                0.90991,                0.64559,                 1.2288,                0.98409,                0.72992,                 1.2528,                0.91209,                0.80799,                 0.8978,                0.61469,                 1.1348,                0.61801,                 1.4785,                 1.1799,                0.65307,                 1.4922,               0.001288,               0.001288,               0.001288
                     91,                0.80055,                 0.4608,                 1.1798,                0.85318,                0.44998,                 1.2061,                0.90088,                 0.8185,                0.89767,                 0.6157,                  1.135,                  0.622,                 1.4757,                 1.1757,                 0.6694,                 1.4862,               0.001189,               0.001189,               0.001189
                     92,                0.78174,                0.44138,                  1.165,                0.83394,                0.43366,                  1.189,                0.91089,                0.80949,                  0.896,                0.61497,                 1.1321,                0.62093,                 1.4745,                  1.176,                0.66345,                 1.4874,                0.00109,                0.00109,                0.00109
                     93,                0.76766,                0.43156,                 1.1593,                  0.818,                0.41656,                 1.1804,                0.91165,                0.80268,                0.89621,                0.61529,                 1.1331,                 0.6205,                 1.4783,                 1.1757,                0.66246,                 1.4901,               0.000991,               0.000991,               0.000991
                     94,                0.76268,                0.43026,                 1.1559,                0.81141,                0.41982,                 1.1764,                 0.9163,                0.80308,                 0.8966,                0.61564,                  1.137,                0.61981,                 1.4846,                 1.1745,                0.66367,                 1.4911,               0.000892,               0.000892,               0.000892
                     95,                0.75537,                0.42058,                 1.1457,                0.80532,                0.40538,                 1.1695,                0.90275,                0.81359,                0.89714,                0.61307,                 1.1385,                0.62318,                 1.4872,                 1.1789,                0.66682,                 1.4914,               0.000793,               0.000793,               0.000793
                     96,                0.75033,                0.41594,                 1.1436,                0.79802,                0.40256,                  1.166,                0.88535,                0.82795,                0.89654,                0.61432,                  1.137,                0.62334,                 1.4874,                 1.1827,                0.65842,                 1.5013,               0.000694,               0.000694,               0.000694
                     97,                0.73954,                0.40504,                 1.1325,                0.78761,                0.39413,                 1.1544,                0.89869,                 0.8227,                0.89554,                0.61299,                 1.1371,                0.62335,                 1.4884,                 1.1803,                0.66377,                 1.4985,               0.000595,               0.000595,               0.000595
                     98,                0.73209,                0.40176,                 1.1299,                0.77802,                0.38576,                 1.1509,                0.89245,                0.82691,                0.89353,                0.61254,                 1.1382,                0.62323,                 1.4919,                 1.1819,                0.66545,                 1.5005,               0.000496,               0.000496,               0.000496
                     99,                0.72911,                0.39895,                 1.1245,                0.77475,                0.38014,                 1.1459,                0.89346,                 0.8206,                0.89334,                0.61293,                 1.1391,                0.62076,                  1.494,                 1.1823,                 0.6602,                 1.5059,               0.000397,               0.000397,               0.000397
                    100,                0.72462,                 0.3985,                 1.1237,                0.77161,                0.38867,                 1.1442,                0.88456,                0.83233,                0.89491,                0.61481,                 1.1384,                0.61986,                 1.4943,                 1.1818,                0.65987,                 1.5067,               0.000298,               0.000298,               0.000298
