                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0041,                0.82888,                 1.2826,                 1.0837,                 0.9312,                 1.3017,                0.85092,                0.80388,                0.86394,                0.57324,                 1.1223,                0.71563,                 1.4447,                 1.1675,                  0.755,                 1.4548,               0.003664,               0.003664,               0.003664
                     67,                0.99217,                0.82513,                 1.2779,                 1.0746,                0.91834,                 1.3017,                0.83984,                0.81295,                0.86392,                0.56984,                 1.1282,                0.71547,                 1.4462,                 1.1833,                  0.745,                 1.4643,               0.003565,               0.003565,               0.003565
                     68,                0.98289,                0.79487,                 1.2676,                 1.0635,                0.88631,                 1.2896,                0.86457,                0.80156,                0.86455,                0.56983,                 1.1371,                0.70983,                   1.46,                 1.1883,                0.73857,                 1.4781,               0.003466,               0.003466,               0.003466
                     69,                0.97801,                0.80425,                 1.2656,                 1.0597,                0.89805,                 1.2872,                 0.8567,                0.80422,                0.86237,                0.56896,                 1.1268,                0.70504,                  1.455,                 1.1744,                0.74153,                 1.4655,               0.003367,               0.003367,               0.003367
                     70,                0.98408,                0.79633,                 1.2674,                 1.0671,                0.88116,                 1.2873,                 0.8678,                0.79708,                0.87037,                0.57254,                 1.1211,                0.71255,                 1.4482,                 1.1683,                0.74346,                 1.4647,               0.003268,               0.003268,               0.003268
                     71,                 0.9726,                0.79006,                 1.2644,                 1.0561,                0.87949,                 1.2839,                0.85002,                0.80723,                0.86066,                0.56869,                 1.1268,                0.71308,                 1.4564,                 1.1806,                0.75332,                  1.479,               0.003169,               0.003169,               0.003169
                     72,                0.96749,                0.78219,                 1.2628,                  1.048,                0.88375,                 1.2809,                0.85977,                0.80601,                0.86128,                0.56891,                 1.1368,                0.71097,                 1.4614,                  1.185,                0.75697,                 1.4782,                0.00307,                0.00307,                0.00307
                     73,                0.95036,                0.78248,                 1.2507,                 1.0292,                0.87967,                 1.2705,                0.86875,                0.80889,                0.86544,                0.57449,                 1.1269,                0.71169,                 1.4556,                 1.1733,                0.74627,                 1.4691,               0.002971,               0.002971,               0.002971
                     74,                0.95463,                0.77327,                 1.2477,                 1.0319,                0.86858,                 1.2671,                0.85902,                0.80564,                0.86487,                0.57062,                 1.1209,                   0.71,                 1.4498,                 1.1678,                0.75423,                 1.4707,               0.002872,               0.002872,               0.002872
                     75,                0.95448,                0.76968,                 1.2514,                 1.0331,                0.86645,                  1.268,                0.86504,                0.80994,                0.86373,                0.57308,                  1.121,                 0.6974,                  1.447,                 1.1618,                0.75389,                 1.4602,               0.002773,               0.002773,               0.002773
                     76,                0.94912,                0.75961,                 1.2434,                 1.0286,                0.84999,                 1.2616,                0.87531,                0.79039,                0.86173,                0.57264,                 1.1265,                0.69943,                 1.4519,                 1.1719,                 0.7646,                 1.4656,               0.002674,               0.002674,               0.002674
                     77,                0.94459,                 0.7481,                 1.2445,                 1.0223,                 0.8226,                 1.2622,                0.87262,                0.80306,                 0.8672,                0.57661,                 1.1177,                0.69267,                 1.4461,                 1.1711,                0.74187,                 1.4611,               0.002575,               0.002575,               0.002575
                     78,                0.94626,                0.76348,                 1.2465,                 1.0227,                0.85202,                 1.2632,                0.87032,                0.80913,                0.86692,                0.57844,                 1.1232,                0.69471,                 1.4566,                 1.1705,                0.72022,                 1.4656,               0.002476,               0.002476,               0.002476
                     79,                0.93759,                0.75904,                  1.241,                 1.0161,                0.84761,                 1.2572,                0.87456,                0.80215,                0.86463,                0.57629,                 1.1162,                0.70006,                 1.4486,                 1.1686,                0.72003,                 1.4669,               0.002377,               0.002377,               0.002377
                     80,                 0.9272,                0.73091,                 1.2309,                 1.0068,                0.81209,                 1.2462,                0.86808,                0.81795,                0.86743,                0.57427,                 1.1131,                0.70029,                 1.4435,                 1.1743,                0.72583,                 1.4667,               0.002278,               0.002278,               0.002278
                     81,                0.91624,                0.73232,                 1.2277,                0.99548,                0.81565,                 1.2445,                0.86683,                0.81746,                0.86699,                0.57306,                 1.1182,                0.69687,                  1.447,                  1.175,                0.72882,                 1.4667,               0.002179,               0.002179,               0.002179
                     82,                0.92202,                0.72364,                  1.228,                 0.9981,                0.79792,                 1.2429,                0.86211,                0.82127,                0.86395,                0.57358,                 1.1153,                0.69444,                 1.4466,                  1.164,                0.72851,                 1.4566,                0.00208,                0.00208,                0.00208
                     83,                0.91101,                0.71763,                 1.2175,                0.99355,                 0.7968,                 1.2391,                0.88419,                0.80696,                0.86429,                0.57179,                 1.1195,                 0.6976,                 1.4496,                 1.1718,                0.72851,                 1.4672,               0.001981,               0.001981,               0.001981
                     84,                0.91375,                0.71778,                 1.2217,                0.98961,                0.80024,                 1.2391,                0.86599,                0.82018,                0.86049,                0.57023,                 1.1227,                0.69623,                 1.4595,                 1.1774,                 0.7263,                 1.4761,               0.001882,               0.001882,               0.001882
                     85,                0.90196,                0.71489,                 1.2155,                0.98016,                0.79903,                 1.2359,                0.86434,                0.82203,                0.86179,                0.57069,                 1.1162,                0.69136,                 1.4572,                 1.1716,                 0.7202,                 1.4729,               0.001783,               0.001783,               0.001783
                     86,                0.89939,                0.70032,                 1.2148,                0.97425,                0.77615,                 1.2326,                0.85923,                0.82353,                0.86224,                 0.5717,                 1.1194,                0.69186,                 1.4635,                 1.1667,                0.73204,                 1.4684,               0.001684,               0.001684,               0.001684
                     87,                0.88967,                0.69753,                 1.2056,                0.96465,                 0.7729,                 1.2259,                0.85811,                0.82619,                0.86357,                0.57329,                   1.12,                0.69102,                  1.464,                 1.1684,                0.72883,                 1.4728,               0.001585,               0.001585,               0.001585
                     88,                0.88713,                0.69783,                 1.2083,                0.96295,                0.77218,                 1.2283,                0.86922,                 0.8224,                0.86665,                0.57561,                 1.1145,                0.68605,                 1.4598,                 1.1578,                0.73146,                 1.4662,               0.001486,               0.001486,               0.001486
                     89,                  0.887,                 0.6815,                 1.2019,                 0.9583,                0.74938,                 1.2204,                0.85661,                0.82511,                0.86779,                0.57778,                 1.1107,                0.68439,                 1.4597,                 1.1534,                0.73272,                 1.4684,               0.001387,               0.001387,               0.001387
                     90,                0.87441,                0.67692,                 1.1928,                0.94975,                0.75912,                 1.2129,                0.85929,                0.82386,                0.86762,                0.57802,                 1.1093,                0.68749,                 1.4584,                 1.1603,                0.72779,                  1.472,               0.001288,               0.001288,               0.001288
                     91,                0.75345,                0.48274,                 1.1351,                0.80005,                0.47215,                 1.1529,                0.87828,                0.80423,                0.86478,                0.57667,                 1.1096,                0.68742,                 1.4589,                  1.158,                0.73401,                 1.4715,               0.001189,               0.001189,               0.001189
                     92,                0.73992,                0.47242,                 1.1267,                0.78713,                 0.4551,                 1.1448,                0.86717,                0.81365,                0.86624,                0.57932,                 1.1119,                0.68697,                 1.4627,                 1.1562,                0.73891,                 1.4707,                0.00109,                0.00109,                0.00109
                     93,                0.72816,                0.45804,                 1.1191,                0.77481,                0.43552,                 1.1359,                0.86667,                0.81596,                0.86299,                0.57578,                 1.1123,                0.68594,                 1.4662,                 1.1574,                0.74104,                 1.4738,               0.000991,               0.000991,               0.000991
                     94,                0.72032,                0.45239,                 1.1148,                0.76434,                0.43686,                 1.1295,                0.87035,                0.81088,                0.86223,                0.57625,                 1.1149,                0.69081,                  1.469,                 1.1618,                0.73127,                 1.4776,               0.000892,               0.000892,               0.000892
                     95,                0.70857,                0.44676,                  1.101,                 0.7535,                0.43034,                  1.118,                0.86003,                0.81777,                 0.8623,                0.57564,                 1.1173,                0.68923,                 1.4743,                  1.162,                0.72955,                   1.48,               0.000793,               0.000793,               0.000793
                     96,                0.70522,                0.44135,                 1.1004,                0.74635,                0.42203,                 1.1163,                  0.856,                0.82364,                0.86329,                0.57441,                 1.1185,                0.68813,                 1.4766,                 1.1609,                0.73468,                 1.4763,               0.000694,               0.000694,               0.000694
                     97,                0.69709,                0.42929,                 1.0898,                0.74083,                0.41359,                 1.1031,                0.86365,                0.81618,                0.86368,                 0.5764,                 1.1172,                0.68714,                 1.4791,                 1.1593,                0.73713,                 1.4768,               0.000595,               0.000595,               0.000595
                     98,                0.68466,                 0.4268,                 1.0884,                0.72458,                0.40612,                 1.1009,                0.86381,                0.81144,                0.86254,                 0.5742,                 1.1169,                0.68477,                 1.4823,                  1.156,                0.74549,                 1.4766,               0.000496,               0.000496,               0.000496
                     99,                0.68439,                0.42203,                 1.0837,                0.72554,                0.40262,                 1.0975,                 0.8742,                0.81137,                0.86214,                0.57392,                 1.1162,                0.68661,                 1.4858,                 1.1561,                0.74494,                  1.481,               0.000397,               0.000397,               0.000397
                    100,                0.67522,                0.41993,                 1.0772,                0.71846,                0.39881,                 1.0914,                0.87477,                 0.8102,                0.86304,                0.57418,                 1.1148,                0.68707,                 1.4881,                 1.1562,                0.74528,                 1.4826,               0.000298,               0.000298,               0.000298
